pickup_zone,avg_total_amount,bkt_passenger_count,passenger_count_start,passenger_count_end
43,15.641393142105608,2,2.649781677329658,3.974672515994487
133,15.641106696120993,0,0.0,1.324890838664829
228,15.641246761306341,1,1.324890838664829,2.649781677329658
128,15.639837684262012,1,1.324890838664829,2.649781677329658
64,15.641348206569706,3,3.974672515994487,5.299563354659316
163,15.641398380300524,1,1.324890838664829,2.649781677329658
81,15.641396771791408,0,0.0,1.324890838664829
165,15.641398112617614,2,2.649781677329658,3.974672515994487
117,15.644558679555766,4,5.299563354659316,6.624454193324145
181,15.641375554965816,0,0.0,1.324890838664829
241,15.641396226795642,4,5.299563354659316,6.624454193324145
169,15.641394668142993,0,0.0,1.324890838664829
103,15.641309971682114,0,0.0,1.324890838664829
216,15.641395157871214,4,5.299563354659316,6.624454193324145
225,15.641396776908342,0,0.0,1.324890838664829
68,15.640934760713158,1,1.324890838664829,2.649781677329658
25,15.64044634614612,0,0.0,1.324890838664829
105,15.641392421513236,3,3.974672515994487,5.299563354659316
109,15.641388936860078,4,5.299563354659316,6.624454193324145
119,15.641396458830414,1,1.324890838664829,2.649781677329658
223,15.641395860053843,2,2.649781677329658,3.974672515994487
95,15.64138676683789,0,0.0,1.324890838664829
92,15.641315771365596,4,5.299563354659316,6.624454193324145
210,15.64139592265592,1,1.324890838664829,2.649781677329658
52,15.64139593719761,4,5.299563354659316,6.624454193324145
29,15.641395814211117,4,5.299563354659316,6.624454193324145
69,15.641396547694718,4,5.299563354659316,6.624454193324145
131,15.482604862336071,1,1.324890838664829,2.649781677329658
68,15.639160628386415,0,0.0,1.324890838664829
71,15.641232928356828,0,0.0,1.324890838664829
165,15.641404560581476,0,0.0,1.324890838664829
141,15.641387011975644,1,1.324890838664829,2.649781677329658
193,15.641303604204232,0,0.0,1.324890838664829
223,15.641393292861244,4,5.299563354659316,6.624454193324145
128,15.641219759788859,4,5.299563354659316,6.624454193324145
112,15.641396163214269,0,0.0,1.324890838664829
239,15.69784320176931,1,1.324890838664829,2.649781677329658
171,15.643069277172392,1,1.324890838664829,2.649781677329658
143,15.64108491408522,3,3.974672515994487,5.299563354659316
193,15.64139086827352,4,5.299563354659316,6.624454193324145
243,15.641394189778534,2,2.649781677329658,3.974672515994487
39,15.665247689510567,0,0.0,1.324890838664829
7,15.641380452508384,0,0.0,1.324890838664829
76,15.641395264098419,2,2.649781677329658,3.974672515994487
240,15.674370242420645,1,1.324890838664829,2.649781677329658
226,15.642113244496496,3,3.974672515994487,5.299563354659316
160,15.641399252928656,4,5.299563354659316,6.624454193324145
-1,15.603054116024353,0,0.0,1.324890838664829
253,15.641405551799595,2,2.649781677329658,3.974672515994487
238,15.641389727723768,2,2.649781677329658,3.974672515994487
125,15.641395768368392,4,5.299563354659316,6.624454193324145
189,15.641392597885535,3,3.974672515994487,5.299563354659316
141,15.642186974135143,0,0.0,1.324890838664829
198,15.640956724532115,0,0.0,1.324890838664829
9,15.641221102084538,0,0.0,1.324890838664829
70,15.640957670110351,2,2.649781677329658,3.974672515994487
230,15.641371043331576,0,0.0,1.324890838664829
144,15.641394759676544,3,3.974672515994487,5.299563354659316
34,15.641374424751731,1,1.324890838664829,2.649781677329658
114,15.64280721227897,2,2.649781677329658,3.974672515994487
236,15.641390392071619,1,1.324890838664829,2.649781677329658
86,15.641379443743917,3,3.974672515994487,5.299563354659316
197,15.641390946175548,4,5.299563354659316,6.624454193324145
19,15.641395026227864,4,5.299563354659316,6.624454193324145
222,15.641391577530323,3,3.974672515994487,5.299563354659316
