avg_total_amount,bkt_tip_amount,val_start,val_end
1288.64,197,296.0385408918698858,298.66208678472201720
1154.84,185,264.5559901776443090,267.17953607049644040
1137.85,184,261.9324442847921776,264.55599017764430900
1040.76,282,519.0399417843010548,521.66348767715318620
1004.94,464,996.5252942833889696,999.14884017624110100
952.8,427,899.4540962478601078,902.07764214071223920
852.8,389,799.7593523194791146,802.38289821233124600
795.44,161,201.5908887491931554,204.21443464204528680
751.5777777777779,198,298.6620867847220172,301.28563267757414860
747.29,149,170.1083380349675786,172.73188392781971000
746.17,190,277.6737196419049660,280.29726553475709740
709.8249999999999,181,254.0618066062357834,256.68535249908791480
602.8,293,547.8989466056745002,550.52249249852663160
554.24,291,542.6518548199702374,545.27540071282236880
538.7333333333333,138,141.2493332135941332,143.87287910644626460
499.3,273,495.4280287486318722,498.05157464148400360
497.8,164,209.4615264277495496,212.08507232060168100
467.84,217,348.5094587489125138,351.13300464176464520
458.53999999999996,253,442.9571108915892442,445.58065678444137560
454.1,255,448.2042026772935070,450.82774857014563840
452.295,236,398.3568307131030104,400.98037660595514180
448.8,235,395.7332848202508790,398.35683071310301040
424.63,125,107.1432366065164250,109.76678249936855640
395.3,225,369.4978258917295650,372.12137178458169640
394.81000000000006,148,167.4847921421154472,170.10833803496757860
360.0533333333333,127,112.3903283922206878,115.01387428507281920
353.135,121,96.6490530351078994,99.27259892796003080
336.8,211,332.7681833917997254,335.39172928465185680
301.1333333333334,179,248.8147148205315206,251.43826071338365200
295.545,134,130.7551496421856076,133.37869553503773900
285.8666666666667,147,164.8612462492633158,167.48479214211544720
274.8183333333333,168,219.9557099991580752,222.57925589201020660
264.87666666666667,180,251.4382607133836520,254.06180660623578340
256.34,159,196.3437969634888926,198.96734285634102400
243.3,175,238.3205312491229950,240.94407714197512640
238.3,173,233.0734394634187322,235.69698535627086360
236.9,156,188.4731592849324984,191.09670517778462980
232.3,172,230.4498935705666008,233.07343946341873220
230.39800000000005,145,159.6141544635590530,162.23770035641118440
220.37978260869565,112,73.0371399994387168,75.66068589229084820
214.87666666666667,160,198.9673428563410240,201.59088874919315540
