pickup_zone,avg_passenger_count,bkt_tip_amount,val_start,val_end
51,6.0,92,20.5662221423960888,23.18976803524822020
39,6.0,105,54.6723187494737970,57.29586464232592840
175,6.0,89,12.6955844638396946,15.31913035669182600
41,6.0,110,67.7900482137344540,70.41359410658658540
161,6.0,93,23.1897680352482202,25.81331392810035160
48,6.0,85,2.2014008924311690,4.82494678528330040
113,6.0,92,20.5662221423960888,23.18976803524822020
157,6.0,101,44.1781351780652714,46.80168107091740280
93,6.0,88,10.0720385709875632,12.69558446383969460
44,6.0,87,7.4484926781354318,10.07203857098756320
117,6.0,83,-3.0456908932730938,-0.42214500042096240
188,6.0,93,23.1897680352482202,25.81331392810035160
117,6.0,115,80.9077776779951110,83.53132357084724240
159,6.0,88,10.0720385709875632,12.69558446383969460
157,6.0,94,25.8133139281003516,28.43685982095248300
212,6.0,91,17.9426762495439574,20.56622214239608880
35,6.0,92,20.5662221423960888,23.18976803524822020
33,5.5,93,23.1897680352482202,25.81331392810035160
117,5.5,105,54.6723187494737970,57.29586464232592840
57,5.0,85,2.2014008924311690,4.82494678528330040
248,5.0,102,46.8016810709174028,49.42522696376953420
30,5.0,93,23.1897680352482202,25.81331392810035160
146,5.0,86,4.8249467852833004,7.44849267813543180
201,5.0,93,23.1897680352482202,25.81331392810035160
154,5.0,130,120.2609660707770820,122.88451196362921340
15,5.0,96,31.0604057138046144,33.68395160665674580
114,5.0,114,78.2842317851429796,80.90777767799511100
114,5.0,83,-3.0456908932730938,-0.42214500042096240
248,5.0,168,219.9557099991580752,222.57925589201020660
143,5.0,253,442.9571108915892442,445.58065678444137560
105,5.0,97,33.6839516066567458,36.30749749950887720
76,5.0,86,4.8249467852833004,7.44849267813543180
180,5.0,83,-3.0456908932730938,-0.42214500042096240
67,5.0,85,2.2014008924311690,4.82494678528330040
102,5.0,84,-0.4221450004209624,2.20140089243116900
255,5.0,89,12.6955844638396946,15.31913035669182600
150,5.0,93,23.1897680352482202,25.81331392810035160
232,5.0,85,2.2014008924311690,4.82494678528330040
232,5.0,84,-0.4221450004209624,2.20140089243116900
-1,5.0,137,138.6257873207420018,141.24933321359413320
164,5.0,105,54.6723187494737970,57.29586464232592840
71,5.0,99,38.9310433923610086,41.55458928521314000
19,5.0,93,23.1897680352482202,25.81331392810035160
247,5.0,89,12.6955844638396946,15.31913035669182600
117,5.0,168,219.9557099991580752,222.57925589201020660
94,5.0,105,54.6723187494737970,57.29586464232592840
143,5.0,155,185.8496133920803670,188.47315928493249840
215,5.0,135,133.3786955350377390,136.00224142788987040
106,5.0,117,86.1548694636993738,88.77841535655150520
154,4.0,148,167.4847921421154472,170.10833803496757860
116,4.0,101,44.1781351780652714,46.80168107091740280
43,4.0,57,-71.2578841074285102,-68.63433821457637880
114,4.0,111,70.4135941065865854,73.03713999943871680
147,4.0,88,10.0720385709875632,12.69558446383969460
245,4.0,134,130.7551496421856076,133.37869553503773900
