pickup_zone,avg_passenger_count,bkt_tip_percentage,val_start,val_end
184,6.0,898,0.19863805281041308,0.287203722505413540
12,6.0,896,0.02150671342041216,0.110072383115412620
48,6.0,897,0.11007238311541262,0.198638052810413080
188,6.0,901,0.46433506189541446,0.552900731590414920
206,6.0,899,0.28720372250541354,0.375769392200414000
35,6.0,904,0.73003207098041584,0.818597740675416300
134,6.0,901,0.46433506189541446,0.552900731590414920
132,6.0,903,0.64146640128541538,0.730032070980415840
74,5.0,904,0.73003207098041584,0.818597740675416300
212,5.0,900,0.37576939220041400,0.464335061895414460
38,5.0,896,0.02150671342041216,0.110072383115412620
247,5.0,901,0.46433506189541446,0.552900731590414920
102,5.0,895,-0.06705895627458830,0.021506713420412160
161,5.0,904,0.73003207098041584,0.818597740675416300
146,5.0,897,0.11007238311541262,0.198638052810413080
232,5.0,897,0.11007238311541262,0.198638052810413080
232,5.0,896,0.02150671342041216,0.110072383115412620
76,5.0,900,0.37576939220041400,0.464335061895414460
126,5.0,900,0.37576939220041400,0.464335061895414460
52,5.0,903,0.64146640128541538,0.730032070980415840
221,5.0,902,0.55290073159041492,0.641466401285415380
63,5.0,902,0.55290073159041492,0.641466401285415380
191,4.333333333333333,904,0.73003207098041584,0.818597740675416300
43,4.0,904,0.73003207098041584,0.818597740675416300
201,4.0,903,0.64146640128541538,0.730032070980415840
5,4.0,896,0.02150671342041216,0.110072383115412620
236,4.0,902,0.55290073159041492,0.641466401285415380
222,3.75,896,0.02150671342041216,0.110072383115412620
212,3.6,901,0.46433506189541446,0.552900731590414920
193,3.5,900,0.37576939220041400,0.464335061895414460
44,3.5,898,0.19863805281041308,0.287203722505413540
31,3.5,902,0.55290073159041492,0.641466401285415380
157,3.5,905,0.81859774067541630,0.907163410370416760
256,3.5,896,0.02150671342041216,0.110072383115412620
97,3.5,901,0.46433506189541446,0.552900731590414920
210,3.5,897,0.11007238311541262,0.198638052810413080
191,3.5,902,0.55290073159041492,0.641466401285415380
70,3.5,903,0.64146640128541538,0.730032070980415840
94,3.5,900,0.37576939220041400,0.464335061895414460
19,3.5,901,0.46433506189541446,0.552900731590414920
83,3.5,895,-0.06705895627458830,0.021506713420412160
22,3.3333333333333335,900,0.37576939220041400,0.464335061895414460
79,3.25,900,0.37576939220041400,0.464335061895414460
222,3.1666666666666665,897,0.11007238311541262,0.198638052810413080
71,3.0,904,0.73003207098041584,0.818597740675416300
181,3.0,899,0.28720372250541354,0.375769392200414000
2,3.0,896,0.02150671342041216,0.110072383115412620
