pickup_zone,avg_tip_amount,bkt_passenger_count,val_start,val_end
82,222.1,1,1.324890838664829,2.6497816773296580
123,189.2,0,0E-15,1.3248908386648290
5,92.52333333333333,1,1.324890838664829,2.6497816773296580
21,66.0,0,0E-15,1.3248908386648290
14,65.58500000000001,1,1.324890838664829,2.6497816773296580
183,49.36,1,1.324890838664829,2.6497816773296580
32,49.0125,0,0E-15,1.3248908386648290
1,30.401666666666667,0,0E-15,1.3248908386648290
241,30.14423076923077,0,0E-15,1.3248908386648290
210,24.671,0,0E-15,1.3248908386648290
190,21.05,0,0E-15,1.3248908386648290
131,20.119999999999997,6,7.949345031988974,9.2742358706538030
83,17.5,1,1.324890838664829,2.6497816773296580
183,17.119999999999997,0,0E-15,1.3248908386648290
2,16.0,0,0E-15,1.3248908386648290
124,15.67,0,0E-15,1.3248908386648290
170,15.345,0,0E-15,1.3248908386648290
8,15.16,5,6.624454193324145,7.9493450319889740
69,13.745714285714287,0,0E-15,1.3248908386648290
88,13.403571428571428,2,2.649781677329658,3.9746725159944870
159,12.57,4,5.299563354659316,6.6244541933241450
31,12.101052631578947,2,2.649781677329658,3.9746725159944870
78,11.86,1,1.324890838664829,2.6497816773296580
44,11.83,4,5.299563354659316,6.6244541933241450
186,11.67,1,1.324890838664829,2.6497816773296580
78,11.141363636363636,0,0E-15,1.3248908386648290
31,10.238653846153845,1,1.324890838664829,2.6497816773296580
149,10.0,0,0E-15,1.3248908386648290
16,10.0,1,1.324890838664829,2.6497816773296580
224,10.0,0,0E-15,1.3248908386648290
196,9.966666666666667,3,3.974672515994487,5.2995633546593160
186,9.647142857142857,0,0E-15,1.3248908386648290
75,9.0,6,7.949345031988974,9.2742358706538030
13,8.9475,1,1.324890838664829,2.6497816773296580
83,8.43,0,0E-15,1.3248908386648290
122,8.046875,1,1.324890838664829,2.6497816773296580
142,8.0,2,2.649781677329658,3.9746725159944870
25,7.665217391304348,2,2.649781677329658,3.9746725159944870
50,7.32,2,2.649781677329658,3.9746725159944870
92,7.236530612244898,1,1.324890838664829,2.6497816773296580
219,7.150178571428573,4,5.299563354659316,6.6244541933241450
92,7.096652452025586,0,0E-15,1.3248908386648290
102,7.093333333333334,0,0E-15,1.3248908386648290
178,7.074736842105264,1,1.324890838664829,2.6497816773296580
72,7.0,5,6.624454193324145,7.9493450319889740
196,6.9523529411764695,1,1.324890838664829,2.6497816773296580
154,6.885714285714286,6,7.949345031988974,9.2742358706538030
44,6.846666666666667,0,0E-15,1.3248908386648290
28,6.8,1,1.324890838664829,2.6497816773296580
251,6.666666666666667,1,1.324890838664829,2.6497816773296580
179,6.666666666666667,0,0E-15,1.3248908386648290
146,6.66,3,3.974672515994487,5.2995633546593160
196,6.609999999999999,0,0E-15,1.3248908386648290
219,6.580662251655626,1,1.324890838664829,2.6497816773296580
199,6.339921259842519,1,1.324890838664829,2.6497816773296580
196,6.327692307692307,4,5.299563354659316,6.6244541933241450
97,6.314,2,2.649781677329658,3.9746725159944870
92,6.2632,2,2.649781677329658,3.9746725159944870
10,6.052222222222222,0,0E-15,1.3248908386648290
131,5.976864133134617,4,5.299563354659316,6.6244541933241450
219,5.967320724980303,0,0E-15,1.3248908386648290
131,5.934562632999168,0,0E-15,1.3248908386648290
142,5.924444444444443,0,0E-15,1.3248908386648290
219,5.825446428571428,3,3.974672515994487,5.2995633546593160
131,5.776337063375766,3,3.974672515994487,5.2995633546593160
128,5.744050139275772,0,0E-15,1.3248908386648290
174,5.726666666666667,1,1.324890838664829,2.6497816773296580
131,5.657193096475935,1,1.324890838664829,2.6497816773296580
219,5.649024390243903,2,2.649781677329658,3.9746725159944870
217,5.611666666666667,0,0E-15,1.3248908386648290
238,5.55,2,2.649781677329658,3.9746725159944870
152,5.55,4,5.299563354659316,6.6244541933241450
34,5.548571428571429,1,1.324890838664829,2.6497816773296580
137,5.452179847760239,0,0E-15,1.3248908386648290
128,5.417746478873237,1,1.324890838664829,2.6497816773296580
78,5.385714285714286,2,2.649781677329658,3.9746725159944870
208,5.351818181818182,0,0E-15,1.3248908386648290
247,5.333333333333333,3,3.974672515994487,5.2995633546593160
92,5.308518518518518,4,5.299563354659316,6.6244541933241450
131,5.290071774975734,2,2.649781677329658,3.9746725159944870
137,5.263771747310576,3,3.974672515994487,5.2995633546593160
221,5.258666666666667,2,2.649781677329658,3.9746725159944870
137,5.253251284246569,4,5.299563354659316,6.6244541933241450
137,5.195943895087587,1,1.324890838664829,2.6497816773296580
17,5.178392857142858,0,0E-15,1.3248908386648290
13,5.175,2,2.649781677329658,3.9746725159944870
54,5.130000000000001,0,0E-15,1.3248908386648290
137,5.0447767052084345,2,2.649781677329658,3.9746725159944870
128,5.0404,4,5.299563354659316,6.6244541933241450
92,5.010363636363636,3,3.974672515994487,5.2995633546593160
258,5.0,0,0E-15,1.3248908386648290
229,5.0,6,7.949345031988974,9.2742358706538030
6,5.0,6,7.949345031988974,9.2742358706538030
148,5.0,0,0E-15,1.3248908386648290
76,5.0,3,3.974672515994487,5.2995633546593160
251,4.992241379310345,0,0E-15,1.3248908386648290
223,4.981428571428571,0,0E-15,1.3248908386648290
14,4.9025,0,0E-15,1.3248908386648290
128,4.881666666666666,3,3.974672515994487,5.2995633546593160
194,4.86,2,2.649781677329658,3.9746725159944870
196,4.833333333333333,2,2.649781677329658,3.9746725159944870
174,4.785,2,2.649781677329658,3.9746725159944870
84,4.772,1,1.324890838664829,2.6497816773296580
221,4.742380952380953,3,3.974672515994487,5.2995633546593160
34,4.7389743589743585,0,0E-15,1.3248908386648290
25,4.642668329177055,0,0E-15,1.3248908386648290
221,4.629723756906078,0,0E-15,1.3248908386648290
88,4.6066666666666665,1,1.324890838664829,2.6497816773296580
47,4.52125,1,1.324890838664829,2.6497816773296580
128,4.512674418604652,2,2.649781677329658,3.9746725159944870
67,4.504166666666666,0,0E-15,1.3248908386648290
