pickup_zone,avg_total_amount,bkt_tip_amount,val_start,val_end
154,1297.75,198,298.6620867847220172,301.28563267757414860
239,1297.75,198,298.6620867847220172,301.28563267757414860
154,1288.64,197,296.0385408918698858,298.66208678472201720
191,1212.04,190,277.6737196419049660,280.29726553475709740
70,1154.84,185,264.5559901776443090,267.17953607049644040
-1,1137.85,184,261.9324442847921776,264.55599017764430900
82,1040.76,282,519.0399417843010548,521.66348767715318620
239,1004.94,464,996.5252942833889696,999.14884017624110100
199,966.6666666666666,198,298.6620867847220172,301.28563267757414860
228,952.8,427,899.4540962478601078,902.07764214071223920
154,881.19,161,201.5908887491931554,204.21443464204528680
228,852.8,389,799.7593523194791146,802.38289821233124600
69,852.8,389,799.7593523194791146,802.38289821233124600
70,747.29,149,170.1083380349675786,172.73188392781971000
-1,709.8249999999999,181,254.0618066062357834,256.68535249908791480
117,709.69,161,201.5908887491931554,204.21443464204528680
239,612.09,138,141.2493332135941332,143.87287910644626460
143,602.8,293,547.8989466056745002,550.52249249852663160
134,600.0,103,49.4252269637695342,52.04877285662166560
5,593.32,148,167.4847921421154472,170.10833803496757860
178,563.5,127,112.3903283922206878,115.01387428507281920
117,554.24,291,542.6518548199702374,545.27540071282236880
137,506.09,128,115.0138742850728192,117.63742017792495060
88,503.13,138,141.2493332135941332,143.87287910644626460
199,501.0,122,99.2725989279600308,101.89614482081216220
5,500.98,138,141.2493332135941332,143.87287910644626460
15,499.8,121,96.6490530351078994,99.27259892796003080
241,499.3,273,495.4280287486318722,498.05157464148400360
86,497.8,164,209.4615264277495496,212.08507232060168100
157,497.34,168,219.9557099991580752,222.57925589201020660
178,495.8,101,44.1781351780652714,46.80168107091740280
239,495.8,145,159.6141544635590530,162.23770035641118440
229,495.42,121,96.6490530351078994,99.27259892796003080
199,495.3,103,49.4252269637695342,52.04877285662166560
215,491.3,147,164.8612462492633158,167.48479214211544720
219,483.5,121,96.6490530351078994,99.27259892796003080
137,480.35,114,78.2842317851429796,80.90777767799511100
-1,472.94,125,107.1432366065164250,109.76678249936855640
143,469.3,253,442.9571108915892442,445.58065678444137560
41,467.84,217,348.5094587489125138,351.13300464176464520
71,460.63,113,75.6606858922908482,78.28423178514297960
