pickup_zone,avg_trip_distance,bkt_tip_amount,val_start,val_end
191,191.9,190,277.6737196419049660,280.29726553475709740
70,178.6,185,264.5559901776443090,267.17953607049644040
154,135.3,161,201.5908887491931554,204.21443464204528680
143,120.12644025955731,84,-0.4221450004209624,2.20140089243116900
70,110.2,149,170.1083380349675786,172.73188392781971000
82,107.6,282,519.0399417843010548,521.66348767715318620
229,103.34,121,96.6490530351078994,99.27259892796003080
117,102.7,161,201.5908887491931554,204.21443464204528680
239,99.3,138,141.2493332135941332,143.87287910644626460
137,98.5,128,115.0138742850728192,117.63742017792495060
5,97.6,148,167.4847921421154472,170.10833803496757860
219,89.7,113,75.6606858922908482,78.28423178514297960
5,86.6,138,141.2493332135941332,143.87287910644626460
71,82.4,120,94.0255071422557680,96.64905303510789940
88,81.9,138,141.2493332135941332,143.87287910644626460
208,79.74,97,33.6839516066567458,36.30749749950887720
230,78.4,88,10.0720385709875632,12.69558446383969460
227,78.17,141,149.1199708921505274,151.74351678500265880
5,77.8,119,91.4019612494036366,94.02550714225576800
6,77.47,96,31.0604057138046144,33.68395160665674580
157,77.4,168,219.9557099991580752,222.57925589201020660
31,76.8,133,128.1316037493334762,130.75514964218560760
245,76.5,134,130.7551496421856076,133.37869553503773900
70,76.4,104,52.0487728566216656,54.67231874947379700
154,76.3,179,248.8147148205315206,251.43826071338365200
-1,75.0,125,107.1432366065164250,109.76678249936855640
41,74.6,117,86.1548694636993738,88.77841535655150520
5,73.1,113,75.6606858922908482,78.28423178514297960
72,72.72,112,73.0371399994387168,75.66068589229084820
71,71.8,113,75.6606858922908482,78.28423178514297960
82,71.6,120,94.0255071422557680,96.64905303510789940
70,68.135,105,54.6723187494737970,57.29586464232592840
75,67.83333333333333,106,57.2958646423259284,59.91941053517805980
35,67.0,115,80.9077776779951110,83.53132357084724240
14,65.78,112,73.0371399994387168,75.66068589229084820
128,65.59,111,70.4135941065865854,73.03713999943871680
131,65.3,124,104.5196907136642936,107.14323660651642500
219,64.25,107,59.9194105351780598,62.54295642803019120
137,62.3,112,73.0371399994387168,75.66068589229084820
128,61.86,106,57.2958646423259284,59.91941053517805980
71,60.8,125,107.1432366065164250,109.76678249936855640
92,60.74,105,54.6723187494737970,57.29586464232592840
248,59.84269757421614,85,2.2014008924311690,4.82494678528330040
128,59.7,100,41.5545892852131400,44.17813517806527140
239,59.3,112,73.0371399994387168,75.66068589229084820
31,59.1,127,112.3903283922206878,115.01387428507281920
131,57.55,159,196.3437969634888926,198.96734285634102400
5,57.4,112,73.0371399994387168,75.66068589229084820
219,56.98,117,86.1548694636993738,88.77841535655150520
245,55.1,109,65.1665023208823226,67.79004821373445400
240,55.0,111,70.4135941065865854,73.03713999943871680
88,52.0,110,67.7900482137344540,70.41359410658658540
219,51.873333333333335,99,38.9310433923610086,41.55458928521314000
71,51.0,101,44.1781351780652714,46.80168107091740280
245,50.61,105,54.6723187494737970,57.29586464232592840
55,49.7,95,28.4368598209524830,31.06040571380461440
219,49.245,102,46.8016810709174028,49.42522696376953420
248,48.8,104,52.0487728566216656,54.67231874947379700
117,47.5,111,70.4135941065865854,73.03713999943871680
94,47.16,109,65.1665023208823226,67.79004821373445400
131,46.5,172,230.4498935705666008,233.07343946341873220
75,46.4,98,36.3074974995088772,38.93104339236100860
122,46.2,99,38.9310433923610086,41.55458928521314000
116,46.12044545438146,84,-0.4221450004209624,2.20140089243116900
6,46.11,95,28.4368598209524830,31.06040571380461440
131,45.6,154,183.2260674992282356,185.84961339208036700
92,45.57,102,46.8016810709174028,49.42522696376953420
6,44.26,97,33.6839516066567458,36.30749749950887720
253,43.97,96,31.0604057138046144,33.68395160665674580
235,43.27,101,44.1781351780652714,46.80168107091740280
135,42.8,101,44.1781351780652714,46.80168107091740280
85,42.36,106,57.2958646423259284,59.91941053517805980
31,42.3,118,88.7784153565515052,91.40196124940363660
157,42.2,121,96.6490530351078994,99.27259892796003080
14,42.1,105,54.6723187494737970,57.29586464232592840
251,41.44,103,49.4252269637695342,52.04877285662166560
41,41.1,137,138.6257873207420018,141.24933321359413320
164,40.5,129,117.6374201779249506,120.26096607077708200
157,39.77,94,25.8133139281003516,28.43685982095248300
122,39.7,95,28.4368598209524830,31.06040571380461440
141,39.58,112,73.0371399994387168,75.66068589229084820
6,39.4,100,41.5545892852131400,44.17813517806527140
131,38.91095238095239,100,41.5545892852131400,44.17813517806527140
196,38.295,101,44.1781351780652714,46.80168107091740280
87,37.95,100,41.5545892852131400,44.17813517806527140
131,37.53846153846153,104,52.0487728566216656,54.67231874947379700
131,37.5,136,136.0022414278898704,138.62578732074200180
148,37.46,89,12.6955844638396946,15.31913035669182600
131,37.24166666666667,101,44.1781351780652714,46.80168107091740280
196,37.24,95,28.4368598209524830,31.06040571380461440
70,37.23666666666667,98,36.3074974995088772,38.93104339236100860
20,37.05,99,38.9310433923610086,41.55458928521314000
72,36.92,100,41.5545892852131400,44.17813517806527140
197,36.77,91,17.9426762495439574,20.56622214239608880
31,36.6,130,120.2609660707770820,122.88451196362921340
215,36.26,95,28.4368598209524830,31.06040571380461440
219,36.165,105,54.6723187494737970,57.29586464232592840
131,35.8,160,198.9673428563410240,201.59088874919315540
131,35.7605,98,36.3074974995088772,38.93104339236100860
117,35.68333333333333,109,65.1665023208823226,67.79004821373445400
58,35.6,91,17.9426762495439574,20.56622214239608880
221,35.59,96,31.0604057138046144,33.68395160665674580
131,35.54777777777778,105,54.6723187494737970,57.29586464232592840
68,35.5,108,62.5429564280301912,65.16650232088232260
131,35.148599999999995,96,31.0604057138046144,33.68395160665674580
70,34.906,99,38.9310433923610086,41.55458928521314000
248,34.900000000000006,100,41.5545892852131400,44.17813517806527140
183,34.8,105,54.6723187494737970,57.29586464232592840
239,34.650000000000006,122,99.2725989279600308,101.89614482081216220
34,34.62,103,49.4252269637695342,52.04877285662166560
78,34.56,96,31.0604057138046144,33.68395160665674580
41,34.46,217,348.5094587489125138,351.13300464176464520
70,34.457499999999996,101,44.1781351780652714,46.80168107091740280
123,34.4,156,188.4731592849324984,191.09670517778462980
117,33.83,124,104.5196907136642936,107.14323660651642500
229,33.255,113,75.6606858922908482,78.28423178514297960
131,33.2,152,177.9789757135239728,180.60252160637610420
219,33.2,98,36.3074974995088772,38.93104339236100860
