pickup_zone,avg_trip_distance,bkt_total_amount,val_start,val_end
248,268.11636452527557,27,24.7456994593951,61.15850314307640
154,231.7,40,498.1121473472520,534.52495103093330
191,191.9,59,1189.9554173371967,1226.36822102087800
70,178.6,58,1153.5426136535154,1189.95541733719670
164,152.44,37,388.8737362962081,425.28653997988940
229,140.285,39,461.6993436635707,498.11214734725200
239,136.4,40,498.1121473472520,534.52495103093330
117,124.0,36,352.4609326125268,388.87373629620810
90,123.4,37,388.8737362962081,425.28653997988940
70,110.2,46,716.5889694493398,753.00177313302110
128,110.1,35,316.0481289288455,352.46093261252680
128,108.4,39,461.6993436635707,498.11214734725200
143,108.04343095570552,26,-11.6671042242862,24.74569945939510
82,107.6,54,1007.8913989187902,1044.30420260247150
178,104.51,34,279.6353252451642,316.04812892884550
215,104.4,42,570.9377547146146,607.35055839829590
117,102.7,45,680.1761657656585,716.58896944933980
137,100.6,40,498.1121473472520,534.52495103093330
5,97.6,42,570.9377547146146,607.35055839829590
45,94.96,39,461.6993436635707,498.11214734725200
131,93.3,40,498.1121473472520,534.52495103093330
219,89.7,38,425.2865399798894,461.69934366357070
5,86.6,40,498.1121473472520,534.52495103093330
229,86.24,38,425.2865399798894,461.69934366357070
39,82.57,35,316.0481289288455,352.46093261252680
71,82.4,37,388.8737362962081,425.28653997988940
215,82.0,37,388.8737362962081,425.28653997988940
88,81.9,40,498.1121473472520,534.52495103093330
72,81.35,36,352.4609326125268,388.87373629620810
70,79.995,35,316.0481289288455,352.46093261252680
208,79.74,35,316.0481289288455,352.46093261252680
117,78.6,37,388.8737362962081,425.28653997988940
227,78.17,38,425.2865399798894,461.69934366357070
5,77.8,37,388.8737362962081,425.28653997988940
137,77.8,37,388.8737362962081,425.28653997988940
157,77.4,39,461.6993436635707,498.11214734725200
31,76.8,38,425.2865399798894,461.69934366357070
154,76.55000000000001,50,862.2401841840650,898.65298786774630
245,76.5,38,425.2865399798894,461.69934366357070
235,74.44,34,279.6353252451642,316.04812892884550
5,73.1,36,352.4609326125268,388.87373629620810
72,72.72,35,316.0481289288455,352.46093261252680
199,72.6,43,607.3505583982959,643.76336208197720
71,71.8,38,425.2865399798894,461.69934366357070
82,71.6,35,316.0481289288455,352.46093261252680
131,69.96777777777778,36,352.4609326125268,388.87373629620810
75,67.3,34,279.6353252451642,316.04812892884550
35,67.0,37,388.8737362962081,425.28653997988940
41,65.95333333333333,36,352.4609326125268,388.87373629620810
14,65.78,33,243.2225215614829,279.63532524516420
128,65.59,37,388.8737362962081,425.28653997988940
241,64.0,31,170.3969141941203,206.80971787780160
91,62.52,33,243.2225215614829,279.63532524516420
6,62.35,33,243.2225215614829,279.63532524516420
128,61.86,36,352.4609326125268,388.87373629620810
188,60.81,32,206.8097178778016,243.22252156148290
71,60.8,36,352.4609326125268,388.87373629620810
92,60.74,35,316.0481289288455,352.46093261252680
162,60.2,31,170.3969141941203,206.80971787780160
219,60.196666666666665,35,316.0481289288455,352.46093261252680
109,60.05,30,133.9841105104390,170.39691419412030
226,59.9,31,170.3969141941203,206.80971787780160
239,59.4,43,607.3505583982959,643.76336208197720
239,59.3,36,352.4609326125268,388.87373629620810
31,59.1,37,388.8737362962081,425.28653997988940
5,57.4,35,316.0481289288455,352.46093261252680
91,57.32,35,316.0481289288455,352.46093261252680
219,56.98,36,352.4609326125268,388.87373629620810
137,56.94500000000001,34,279.6353252451642,316.04812892884550
229,55.6,35,316.0481289288455,352.46093261252680
122,55.01,33,243.2225215614829,279.63532524516420
240,55.0,34,279.6353252451642,316.04812892884550
219,54.488,34,279.6353252451642,316.04812892884550
131,54.284615384615385,34,279.6353252451642,316.04812892884550
248,53.55,34,279.6353252451642,316.04812892884550
219,53.269999999999996,33,243.2225215614829,279.63532524516420
88,52.0,34,279.6353252451642,316.04812892884550
248,51.7,33,243.2225215614829,279.63532524516420
45,51.385000000000005,31,170.3969141941203,206.80971787780160
131,50.71727272727273,35,316.0481289288455,352.46093261252680
45,50.3,33,243.2225215614829,279.63532524516420
55,49.7,32,206.8097178778016,243.22252156148290
131,47.23499999999999,38,425.2865399798894,461.69934366357070
154,47.16375000000001,33,243.2225215614829,279.63532524516420
94,47.16,34,279.6353252451642,316.04812892884550
128,47.046666666666674,32,206.8097178778016,243.22252156148290
131,46.92987341772152,33,243.2225215614829,279.63532524516420
75,46.45,32,206.8097178778016,243.22252156148290
256,46.27,29,97.5713068267577,133.98411051043900
122,46.2,32,206.8097178778016,243.22252156148290
43,46.09,32,206.8097178778016,243.22252156148290
235,45.86333333333334,32,206.8097178778016,243.22252156148290
92,45.57,34,279.6353252451642,316.04812892884550
131,45.44857142857143,37,388.8737362962081,425.28653997988940
92,44.98,33,243.2225215614829,279.63532524516420
35,44.9,31,170.3969141941203,206.80971787780160
71,44.85,32,206.8097178778016,243.22252156148290
122,44.58,30,133.9841105104390,170.39691419412030
131,44.35204081632653,32,206.8097178778016,243.22252156148290
6,44.26,34,279.6353252451642,316.04812892884550
253,43.97,33,243.2225215614829,279.63532524516420
229,43.93666666666667,33,243.2225215614829,279.63532524516420
70,43.791,33,243.2225215614829,279.63532524516420
70,43.53166666666666,34,279.6353252451642,316.04812892884550
251,43.25,31,170.3969141941203,206.80971787780160
245,43.12,32,206.8097178778016,243.22252156148290
135,42.8,31,170.3969141941203,206.80971787780160
79,42.7,33,243.2225215614829,279.63532524516420
219,42.66375,32,206.8097178778016,243.22252156148290
215,42.595,32,206.8097178778016,243.22252156148290
212,42.47,29,97.5713068267577,133.98411051043900
33,42.3,31,170.3969141941203,206.80971787780160
31,42.3,34,279.6353252451642,316.04812892884550
